route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
40160012,22358,16638285,PARALIMNI SQ. BUS,40160012,1
40000011,22358,16638286,PARALIMNI,40000011,0
40000011,22358,16638287,PARALIMNI,40000011,0
40010011,22358,16638288,AG. NAPA (W/PARK),40010011,0
40010011,22358,16638289,AG. NAPA (W/PARK),40010011,0
40000011,22358,16638290,PARALIMNI,40000011,0
40000011,22358,16638291,PARALIMNI,40000011,0
40010011,22358,16638292,AG. NAPA (W/PARK),40010011,0
40010011,22358,16638293,AG. NAPA (W/PARK),40010011,0
40010011,22358,16638294,AG. NAPA (W/PARK),40010011,0
40010011,22358,16638295,AG. NAPA (W/PARK),40010011,0
40000011,22358,16638296,PARALIMNI,40000011,0
40000011,22358,16638297,PARALIMNI,40000011,0
40040011,22358,16638298,DERYNEIA,40040011,0
40040011,22358,16638299,DERYNEIA,40040011,0
40050011,22358,16638300,DERYNEIA,40050011,0
40050011,22358,16638301,DERYNEIA,40050011,0
40010011,22358,16638302,AG. NAPA (W/PARK),40010011,0
40010011,22358,16638303,AG. NAPA (W/PARK),40010011,0
40000011,22358,16638304,PARALIMNI,40000011,0
40000011,22358,16638305,PARALIMNI,40000011,0
40010011,22358,16638306,AG. NAPA (W/PARK),40010011,0
40100011,22358,16638307,AGIA NAPA,40100011,0
40100012,22358,16638308,DASAKI ACHNAS,40100012,1
40090011,22358,16638309,AGIA NAPA,40090011,0
40090012,22358,16638310,E.A.C. DHEKELIA,40090012,1
40000011,22358,16638311,PARALIMNI,40000011,0
40000011,22358,16638312,PARALIMNI,40000011,0
40000011,22358,16638313,PARALIMNI,40000011,0
40000011,22358,16638314,PARALIMNI,40000011,0
40090011,22359,16638315,AGIA NAPA,40090011,0
40070011,22359,16638316,PARALIMNI,40070011,0
40110011,22359,16638317,KONNOS,40110011,0
40110012,22359,16638318,XYLOTYMPOU,40110012,1
40010011,22359,16638319,AG. NAPA (W/PARK),40010011,0
40010011,22359,16638320,AG. NAPA (W/PARK),40010011,0
40150011,22359,16638321,LARNAKA,40150011,0
40150012,22359,16638322,CENTRAL BUS ST.,40150012,1
40100011,22359,16638323,AGIA NAPA,40100011,0
40100012,22359,16638324,DASAKI ACHNAS,40100012,1
40100011,22359,16638325,AGIA NAPA,40100011,0
40120011,22359,16638326,KONNOS,40120011,0
40130011,22359,16638327,AGIA NAPA,40130011,0
40080011,22359,16638328,KONNOS,40080011,0
40080012,22359,16638329,E.A.C. DHEKELIA,40080012,1
40180011,22359,16638330,AGIA THEKLA BEACH,40180011,0
40160011,22359,16638331,LARNAKA,40160011,0
40160012,22359,16638332,PARALIMNI SQ. BUS,40160012,1
40140011,22359,16638333,AGIA NAPA,40140011,0
40140012,22359,16638334,DERYNEIA,40140012,1
40140011,22359,16638335,AGIA NAPA,40140011,0
40040011,22359,16638336,DERYNEIA,40040011,0
40040011,22359,16638337,DERYNEIA,40040011,0
40250012,22359,16638338,XYLOFAGOU,40250012,1
