route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
10070011,22736,16944115,LEONTIOU EMEL ST.,10070011,0
10200011,22736,16944116,MY MALL,10200011,0
10200012,22736,16944117,T. CHRISTODOULOU,10200012,1
10200011,22736,16944118,MY MALL,10200011,0
10200012,22736,16944119,T. CHRISTODOULOU,10200012,1
10200011,22736,16944120,MY MALL,10200011,0
10200012,22736,16944121,T. CHRISTODOULOU,10200012,1
10200011,22736,16944122,MY MALL,10200011,0
10200012,22736,16944123,T. CHRISTODOULOU,10200012,1
10200011,22736,16944124,MY MALL,10200011,0
10200012,22736,16944125,T. CHRISTODOULOU,10200012,1
10230021,22736,16944126,YPSONAS MUNICIP.,10230021,0
10230021,22736,16944127,YPSONAS MUNICIP.,10230021,0
10230021,22736,16944128,YPSONAS MUNICIP.,10230021,0
10230021,22736,16944129,YPSONAS MUNICIP.,10230021,0
10230021,22736,16944130,YPSONAS MUNICIP.,10230021,0
10230021,22736,16944131,YPSONAS MUNICIP.,10230021,0
10230021,22736,16944132,YPSONAS MUNICIP.,10230021,0
10230021,22736,16944133,YPSONAS MUNICIP.,10230021,0
10230021,22736,16944134,YPSONAS MUNICIP.,10230021,0
10230021,22736,16944135,YPSONAS MUNICIP.,10230021,0
10400011,22736,16944136,LEMESOS,10400011,0
10500011,22736,16944137,LEMESOS,10500011,0
10500012,22736,16944138,AGROS,10500012,1
10500011,22736,16944139,LEMESOS,10500011,0
10500012,22736,16944140,AGROS,10500012,1
15760011,22736,16944141,LEONTIOU EMEL ST.,15760011,0
15760012,22736,16944142,GENERAL HOSPITAL,15760012,1
15760012,22736,16944143,GENERAL HOSPITAL,15760012,1
15760011,22736,16944144,LEONTIOU EMEL ST.,15760011,0
15760012,22736,16944145,GENERAL HOSPITAL,15760012,1
15760011,22736,16944146,LEONTIOU EMEL ST.,15760011,0
15410011,22736,16944147,DIS. DOROS-LANEIA,15410011,0
15410011,22736,16944148,DIS. DOROS-LANEIA,15410011,0
15410012,22736,16944149,KOUKA,15410012,1
15410011,22736,16944150,DIS. DOROS-LANEIA,15410011,0
15410012,22736,16944151,KOUKA,15410012,1
15410012,22736,16944152,KOUKA,15410012,1
15350021,22736,16944153,KALO CHORIO,15350021,0
10600011,22736,16944154,LEMESOS,10600011,0
10600012,22736,16944155,PELENDRI,10600012,1
10600011,22736,16944156,LEMESOS,10600011,0
10600012,22736,16944157,PELENDRI,10600012,1
10600011,22736,16944158,LEMESOS,10600011,0
10600012,22736,16944159,PELENDRI,10600012,1
10320011,22736,16944160,CITY CENTRE,10320011,0
10320011,22736,16944161,CITY CENTRE,10320011,0
10320011,22736,16944162,CITY CENTRE,10320011,0
10320011,22736,16944163,CITY CENTRE,10320011,0
10320011,22736,16944164,CITY CENTRE,10320011,0
10320011,22736,16944165,CITY CENTRE,10320011,0
